Id,Label,timeset ,value,eigencentrality,Rating,Author,Summary
79,Bushwomen,,l,0.488767,4,Laura Flanders ,"From the workplace to the war zone, the Bush administration has wrapped female-friendly rhetoric around some of the most hard-core policy since Ronald Reagan. Some well-placed women have helped to pull off that con job. Invaluable to the president, underscrutinized in the press, the Bushwomen—the women appointed to the inner circle of the president’s cabinet and sub-cabinet—are cast in the public mind as moderate, malleable, maverick, irrelevant or benign. Their carefully crafted images tap into stereotypes, while the reality of their records has remained out of sight...until now. This is the first book to investigate Bush’s women, and to report on how they rose to power and what they’ve done. Find out about why Chevron named a tanker after National Security Advisor Condoleezza Rice; how financial ties to big tobacco corporations got Secretary of the Interior Gale Ann Norton dubbed ‘The Woman from Marlboro Country’; how Labor Secretary Elaine Chao bullied union longshoreworkers to benefit her trading-with-China family and friends; read excerpts of Lynne Cheney’s lesbian novel; and discover how Karen Hughes got her first job thanks to the National Organization for Women. Women swing voters can decide elections now, and the Bush team will do whatever it takes to win their support. The cynical crusade to put a female face on anti-feminist policy is revealed in this scathing and entertaining investigation of the sinister politicians we call the Bushwomen."
80,The Bubble of American Supremacy,,l,0.273288,3.6,George Soros ,"Long known as ""the world's only private citizen with a foreign policy,"" George Soros combines his razor-sharp sense of economic trends with his passionate advocacy for open societies and decency in world politics to come up with a workable, and severely critical, analysis of the Bush administration's overreaching, militaristic foreign policy. Soros believes that this administration's plans abroad come from the same sort of ""bubble"" psychology that afflicted our markets in the late 1990s. They have used a real fact, our overwhelming military supremacy, to create a deluded worldview, that might makes right and that ""you're either with us or against us,"" in the same way that the recent boom used a real fact, the growth in technology, to lead to a delusion, the ""new economy.""Like the best of the books that have responded quickly to world events, The Bubble of American Supremacy has a clear, intriguing, comprehensive thesis that makes necessary, and compelling, order of our seemingly disordered world."
81,Living History,,l,0.21473,3.6,Hillary Rodham Clinton,"Author of the Instant #1 New York Times Bestseller What Happened. The Phenomenal #1 Worldwide Bestseller—With a New Afterword. Hillary Rodham Clinton is known to hundreds of millions of people around the world. Yet few beyond her close friends and family have ever heard her account of her extraordinary journey. She writes with candor, humor and passion about her upbringing in suburban, middle-class America in the 1950s and her transformation from Goldwater Girl to student activist to controversial First Lady. Living History is her revealing memoir of life through the White House years. It is also her chronicle of living history with Bill Clinton, a thirty-year adventure in love and politics that survives personal betrayal, relentless partisan investigations and constant public scrutiny. Hillary Rodham Clinton came of age during a time of tumultuous social and political change in America. Like many women of her generation, she grew up with choices and opportunities unknown to her mother or grandmother. She charted her own course through unexplored terrain -- responding to the changing times and her own internal compass -- and became an emblem for some and a lightning rod for others. Wife, mother, lawyer, advocate and international icon, she has lived through America's great political wars, from Watergate to Whitewater. The only First Lady to play a major role in shaping domestic legislation, Hillary Rodham Clinton traveled tirelessly around the country to champion health care, expand economic and educational opportunity and promote the needs of children and families, and she crisscrossed the globe on behalf of women's rights, human rights and democracy. She redefined the position of First Lady and helped save the presidency from an unconstitutional, politically motivated impeachment. Intimate, powerful and inspiring, Living History captures the essence of one of the most remarkable women of our time and the challenging process by which she came to define herself and find her own voice -- as a woman and as a formidable figure in American politics."
82,The Politics of Truth,,l,0.590779,4,Joseph Wilson ,"Through the last three presidential administrations and two wars with Iraq, no one has personally witnessed, influenced, or fueled news over more history-making events than Joseph Wilson. The last American diplomat to sit face-to-face with Saddam Hussein, he is a consummate insider who has the intelligence, principles, and independence to examine current American foreign policy and the inner workings of government and to form a candid assessment of the United States’ involvement in the world. In February 2002, Joseph Wilson was sent to Niger by the CIA to investigate claims that Iraq had sought to purchase uranium in that country. Wilson’s report, and two from other American officials, conclusively negated such rumors, yet all were brushed aside by the White House. Startled by the infamous words uttered by George W. Bush in his 2003 State of the Union Address: “The British Government has learned that Saddam Hussein recently sought significant quantities of uranium from Africa,” Wilson decided to reveal the truth behind the initiation of the Iraq war. The Politics of Truth is an explosive and revelatory book by a man who stands for the accurate recording of history against those forces bent on fabricating truth."
83,Fanatics and Fools,,l,0.474254,3.4,Arianna Huffington,"In Fanatics and Fools, political pundit Arianna Huffington reveals everything we need to know about the dirty game of Washington politics. She poses key questions: How did self-righteous Republican zealots gain control of our government? How did they obliterate Democrats and shift politics so far to the right? Why have they been allowed to redefine the right and betray true American democratic values?Huffington takes on a long view of American political history and leadership to remind us that at one time America's leaders were people of daring, passion, and intelligence. By contrast, today's leaders (people like Dick Cheney, John Ashcroft, Tom DeLay, Donald Rumsfeld, Paul Wolfowitz, and Bill Frist) are ""dangerous Fanatics"". Those who don't oppose them are ""spineless Fools"". Huffington holds the feet of the Fanatics and Fools to the fire while offering us a blueprint for returning power to this country's rightful owners: the people."
84,Bushwhacked,,l,0.988461,4.5,Molly Ivins ,"A simultaneously rollicking and sobering indictment of the policies of President George W. Bush, Bushwhacked chronicles the destructive impact of the Bush administration on the very people who put him in the White House in the first place. Here are the ties that connected Bush to Enron, yes, but here, too, is the story of the woman who walks six miles to the unemployment office daily, wondering what happened to the economic security Bush promised. Here are reports on failed nation-building missions in Kabul and Baghdad. Here, too, the story of a rancher who has fallen prey to a Bush-Cheney interior department that is perhaps a wee bit too cozy with the oil industry. Bushwhacked is highly original and entirely thought-provoking—essential reading for anyone living in George W. Bush's America."
85,Disarming Iraq,,l,0.211989,4.3,Hans Blix,"Hans Blix recounts the events leading up to the declaration of war on Iraq in March 2003, looking back to Saddam Hussein's long wrangle with the international community since the first Gulf War and forward to the implications for international security in the aftermath of the war just ended. In clear-eyed descriptions of his meetings with Blair, Bush, Chirac, Cheney, Condoleeza Rice, Colin Powell and Kofi Annan, he conveys the frustrations, the tensions, the pressure and the drama of the months leading up to the US/UK-led attack on Iraq. He also asks and answers key questions including: Could the war have been prevented? Was it inevitable? Does Iraq have weapons of mass destruction? Why couldn't the US and the UK secure the backing of the member states of the UN Security Council? And: What can be learnt from the Iraq war for the prevention of the spread and use of WMDs in the future?"
86,Lies and the Lying Liars Who Tell Them,,l,0.635177,4.2,Al Franken ,"Al Franken, one of our “savviest satirists” (People), has been studying the rhetoric of the Right. He has listened to their cries of “slander,” “bias,” and even “treason.” He has examined the GOP's policies of squandering our surplus, ravaging the environment, and alienating the rest of the world. He’s even watched Fox News. A lot. And, in this fair and balanced report, Al bravely and candidly exposes them all for what they are: liars. Lying, lying liars. Al destroys the liberal media bias myth by doing what his targets seem incapable of: getting his facts straight. Using the Right’s own words against them, he takes on the pundits, the politicians, and the issues, in the most talked about book of the year. Timely, provocative, unfailingly honest, and always funny, Lies sticks it to the most right-wing administration in memory, and to the right-wing media hacks who do its bidding."
87,MoveOn's 50 Ways to Love Your Country,,l,0.282353,3.8,MoveOn.org,"When two Silicon Valley entrepreneurs launched MoveOn.org in 1998, they had no idea that they would be hailed as powerful and influential political activists or grow their online advocacy group to 2 million members in just a few years. Their simple mission—fueled by passion for a more open and democratic nation, topnotch and timely information, and the financial support of concerned individuals and organizations—was to jumpstart broad civic dialogue and enable ordinary citizens to effectively voice their political concerns. In the spirit of simplicity and empowering the citizen, this book is an essential ""how to"" for becoming politically informed and involved. In this handbook for change, MoveOn members from around the country have written about what it means to be a responsible member of a democracy—what they have done in the past and what they are now doing to help make the United States more accountable, forward thinking, and a better place to live. The 50 Ways range from simple ideas, such as ""Tell a Friend about a Petition"" to more dynamic suggestions, such as ""Organize a Constituent Meeting,"" and the editors at MoveOn provided action items and resources for those who want to take inspiration a step further."
88,The Buying of the President 2004,,l,0.326852,5,Charles Lewis,"Is The Oval Office For Sale? The Buying of the President 2004 reveals how the process of choosing a president has moved from the voting booth to the auction block, and highlights the special interests that heavily invest in the politicians seeking the nation's highest office. Lewis and his team reveal and investigate the sponsors and the known and not-so-known conflicts of interest entangling each of the aspirants to the White House. This is the only book of its kind, containing investigative profiles and personal histories of the major presidential candidates. Here you will find answers to questions like Which candidate was paid by a pharmaceutical firm to give speeches while running for the Senate? Who turned the Homeland Security Act into a bonanza for the biotech industry? Which candidate proposed 32 separate tax breaks for big businesses that support his campaign? Who is the ""go-to guy"" for the insurance industry?"
89,Perfectly Legal,,l,0.38725,4.4,David Cay Johnston,"Now updated with a new prologue! Since the mid-1970s, there has been a dramatic shift in America's socioeconomic system, one that has gone virtually unnoticed by the general public. Tax policies and their enforcement have become a disaster, and thanks to discreet lobbying by a segment of the top 1 percent, Washington is reluctant or unable to fix them. The corporate income tax, the estate tax, and the gift tax have been largely ignored by the media. But the cumulative results are remarkable: today someone who earns a yearly salary of $60,000 pays a larger percentage of his income in taxes than the four hundred richest Americans. Pulitzer Prize-winning investigative reporter David Cay Johnston exposes exactly how the middle class is being squeezed to create a widening wealth gap that threatens the stability of the country. By relating the compelling tales of real people across all areas of society, he reveals the truth behind: ""Middle class"" tax cuts and exactly whom they benefit. How workers are being cheated out of their retirement plans while disgraced CEOs walk away with millions. How some corporations avoid paying any federal income tax. How a law meant to prevent cheating by the top 2 percent of Americans no longer affects most of them, but has morphed into a stealth tax on single mothers making just $28,000. Why the working poor are seven times more likely to be audited by the IRS than everyone else. How the IRS became so weak that even when it was handed complete banking records detailing massive cheating by 1,600 people, it prosecuted only 4 percent of them. Johnston has been breaking pieces of this story on the front page of The New York Times for seven years. With Perfectly Legal, he puts the whole shocking narrative together in a way that will stir up media attention and make readers angry about the state of our country."
90,Hegemony or Survival,,l,0.254559,4,Noam Chomsky,"Reading Chomsky today is sobering and instructive . . . He is a global phenomenon . . . perhaps the most widely read voice on foreign policy on the planet. -The New York Times Book Review. An immediate national bestseller, Hegemony or Survival demonstrates how, for more than half a century the United States has been pursuing a grand imperial strategy with the aim of staking out the globe. Our leaders have shown themselves willing-as in the Cuban missile crisis-to follow the dream of dominance no matter how high the risks. World-renowned intellectual Noam Chomsky investigates how we came to this perilous moment and why our rulers are willing to jeopardize the future of our species. With the striking logic that is his trademark, Chomsky tracks the U.S. government's aggressive pursuit of ""full spectrum dominance"" and vividly lays out how the most recent manifestations of the politics of global control-from unilateralism to the dismantling of international agreements to state terrorism-cohere in a drive for hegemony that ultimately threatens our existence. Lucidly written, thoroughly documented, and featuring a new afterword by the author, Hegemony or Survival is a definitive statement from one of today's most influential thinkers."
91,The Exception to the Rulers,,l,0.375057,4.3,Amy Goodman ,"Her comments turned Charlie Rose red in the face. Bill Clinton called her 'hostile, combative, and even disrespectful.' Newt Gingrich said to her, 'You're the kind of reporter I warned my mother about.' Meet Amy Goodman, award-winning journalist and host of the daily hour-long talk show that is a beacon for passionate, critical, and hard-hitting news. On subjects ranging from the deceptions of the George H. W. Bush administration to the corruption of media monopolies and corporate influence over the government, Amy Goodman attacks and exposes the lies and hypocrisy that put democracy at risk. Goodman has traveled the world reporting and speaking out in defense of human rights and offers no apologies for her advocacy. At lectures, rallies, and other public appearances, thousands turn out to hear her speak the truth. Now, in her first book, she offers her no-holds-barred perspective on world events."
92,Freethinkers,,l,0.217951,4.5,Susan Jacoby,"Jacoby accomplishes her task with clarity, thoroughness, and an engaging passion. -Los Angeles Times Book Review. At a time when the separation of church and state is under attack as never before, Freethinkers offers a powerful defense of the secularist heritage that gave Americans the first government in the world founded not on the authority of religion but on the bedrock of human reason. In impassioned, elegant prose, celebrated author Susan Jacoby traces more than two hundred years of secularist activism, beginning with the fierce debate over the omission of God from the Constitution. Moving from nineteenth-century abolitionism and suffragism through the twentieth century's civil liberties, civil rights, and feminist movements, Freethinkers illuminates the neglected achievements of secularists who, allied with tolerant believers, have led the battle for reform in the past and today. Rich with such iconic figures as Thomas Jefferson, Abraham Lincoln, Thomas Paine, and the once-famous Robert Green Ingersoll, Freethinkers restores to history the passionate humanists who struggled against those who would undermine the combination of secular government and religious liberty that is the glory of the American system."
93,Had Enough?,,l,0.351694,4.7,Anie Michaels,"She’s an eye-rolling, f-bomb-dropping, crazy-sexy wildcat and I want her all for myself. I almost had her once, too. Unfortunately, before I could convince her I was the only man she needed for the rest of forever, she pushed me away. That’s okay, though. I don’t mind a challenge or a chase. Especially when I know that pushing me away is just as much a turn on for her as when she pulls me closer. I’ll play her game for a while, but eventually she’s gotta understand that I’m going to win. Harmless. That’s how I’ve always viewed my casual stance on dating and sex. It’s all fun and games until someone catches feelings. I’ve never been the one infected before. So what’s a girl supposed to do when she wakes up next to the one man she wasn’t allowing herself to sleep with? Run like hell. That’s what. Here’s a tip, though: running from the only person you want to run to, never ends the way you think it will. A stand-alone romance."
94,"It's Still the Economy, Stupid!",,l,0.254608,3.4,Paul Begala,"When he took office in 2001, George W. Bush inherited the strongest economy in American history. He inherited the largest federal budget surplus in American history -- and the prospect of paying off the entire national debt in just eight years. He inherited a strong dollar and sound fiscal policy. He inherited a nation whose economy was so strong that commentators who just a decade before were predicting American decline were now complaining about American dominance. And yet, Dubya blew it. Squandered everything he'd inherited from President Clinton. We thought if Junior was good at anything, it was inheriting things. It's Still the Economy, Stupid is the story of how America's CEO -- our first MBA president -- has trashed our economy. It shows:• How he wasted the surplus on massive tax cuts for the hyper-rich.• How he talked down the economy for his short-term political gain, then passed an economic program that has put 1.8 million Americans out of work and cost investors $4.4 trillion.• How he abandoned his free-trade rhetoric to adopt protectionist tariffs, effectively raising taxes on consumers.• How he walked away from needed investments in education, training, and all the things that make us smarter, safer, and stronger economically.• How he plans to go on from here to cripple Social Security and to allow the privileged to avoid even more taxes.It makes you wonder: What do they teach you at Harvard Business School?"
95,We're Right They're Wrong,,l,0.117626,3.5,James Carville,"The campaign strategist for the election of Bill Clinton provides an entertaining and timely response to the Republicans' ""Contract with America,"" defending a strong government and its social role and providing a definitive program for strengthening America. Original. 150,000 first printing. Tour."
96,What Liberal Media?,,l,0.325814,3.3,Eric Alterman,"Widely acclaimed and hotly contested, veteran journalist Eric Alterman's ambitious investigation into the true nature of the U.S. news media touched a nerve and sparked debate across the country. As the question of whose interests the media protects-and how-continues to raise hackles, Alterman's sharp, utterly convincing assessment cuts through the cloud of inflammatory rhetoric, settling the question of liberal bias in the news once and for all. Eye-opening, witty, and thoroughly and solidly researched, What Liberal Media? is required reading for media watchers, and anyone concerned about the potentially dangerous consequences for the future of democracy in America."
97,The Clinton Wars,,l,0.330686,4.3,Sidney Blumentha,"An invaluable history of an extraordinary presidency, and the chronicle of a generation’s political odyssey. When in 1997 Bill Clinton appointed Sidney Blumenthal as a senior advisor, the former writer was catapulted into the front lines of the Clinton wars. From his first day in the White House until long after his appearance as the only presidential aide ever to testify in an impeachment trial, Blumenthal acted in or witnessed nearly all the battles of the Clinton years. His major new book—part history, part memoir—is the first inside account we have of the presidency of William Jefferson Clinton. The Clinton Wars begins in 1987, when Blumenthal first met Bill and Hillary Clinton. His chronicle of Clinton’s first presidential campaign and first term draws on his experiences as confidant to both the President and the First Lady, and is enriched with previously unpublished revelations about both. This remarkable personal interpretation goes far in explaining the polarizing nature of Clinton’s presence on the national scene. The narrative of Clinton’s second term is even more dramatic. Blumenthal takes special note of the battle that was waged within the media between the President’s detractors and defenders, which he expands into a vivid picture of Washington society torn apart by warring factions. But he does not neglect the wars fought on other fronts—in Kosovo, against Congress, and for economic prosperity. His remarkable book ends with the inside story of the fight to elect Al Gore in 2000 and extend the legacy of the Clinton-Gore Administration. Every page of this unrivaled, authoritative book, with its intimate insights into Clinton’s personality and politics, attests to Blumenthal’s literary skill, profound understanding of politics, and unique perspective on crucial events of our recent past. The Clinton Wars is a lasting contribution to American history."
98,Weapons of Mass Deception,,l,0.242843,4.7,David Bruns,"The greatest intelligence failure of our modern era...or the greatest deception? Written by two US Navy veterans, Weapons of Mass Deception weaves historical fact with realistic fiction to create a riveting national security thriller equal to the threats of the 21st century. In 2003, the world watched as coalition forces toppled Saddam Hussein's regime, then scoured the country for the WMDs they knew were there. Iraqi weapons of mass destruction were never found...but they exist. On the eve of the invasion, five nuclear devices are smuggled out of Iraq and hidden in the most unlikely of places--neighboring Iran. Now, as the threat of WMDs fades into a late-night punch line, a hardline splinter group waits for the perfect moment to unleash nuclear terror. When Navy SEAL Brendan McHugh captures a mysterious Iranian diplomat on a raid, it feels all wrong. While the official rules of engagement say he must release the diplomat, that doesn't stop McHugh from investigating further. With an FBI linguist and a CIA analyst on his team, he chases clues across the globe to arrive at a terrifying conclusion. The threat to the United States heartland is bigger--and closer to home--than anyone dreamed possible. Start reading Weapons of Mass Deception now and take your place alongside the brave men and women that keep us safe from the threats of our time."
99,"Dude, Where's My Country?",,l,0.523798,3.8,Michael Moore ,"The author of the best-selling Stupid White Men notes George W. Bush's affiliations with Enron and big oil, presenting a tongue-in-cheek plan for ending his political career while charging today's leaders with enabling a growing divide between American classes. 750,000 first printing."
100,Thieves in High Places,,l,0.524548,4.2,Jim Hightower,"In Thieves in High Places, Jim Hightower takes on the Kleptocrats, Wobblycrats, and Bushites with hilarious results. Digging up behind-the-scenes dirt on stories the corporate news media overlooks (and don’t get him started on them!), Hightower reveals the real stories behind BushCo’s ""Friday Night Massacres,"" what’s happened to our food, and the Bush plan for empire. With grassroots solutions, drawing on Hightower’s national Rolling Thunder Down- Home Democracy Tour—a traveling festival of rebellion against every tentacle of the corporate-politico power grab—Hightower is tapping into the activist network that is thriving at kitchen tables all over America. This is the real America the rest of the world doesn’t get to see, delivered with Hightower’s own hilarious brand of wit and outrage."
101,Shrub,,l,0.209949,4.7,Michael Dietsch ,"A beautiful revised edition, with foreword by Paul Clarke, and 10 new recipes. ""A shrub is exactly what the people who invented the phrase 'slake your thirst' had in mind.  A shrub is full of character and variety. The ingredients?fruit, sugar, and vinegar?are as simple as can be. But the variations are seemingly unlimited. It has another superpower: A strong shrub game can help you make the most of bruised or aging summer fruit."" –The New York Times, in an article featuring Shrubs. Michael Dietsch took the mixology community by storm when he brought back a popular drink from colonial times, the shrub. Not the green, leafy kind that grow in the ground, but a vintage drink mixer that can be spiked with alcohol or prepared as a soda. Drinkers, bartenders, and the media embraced the book. This new edition features a foreword by Paul Clarke, the Executive Editor of Imbibe magazine and author of The Cocktail Chronicles. Here is the definitive guide to making and using shrubs. 70 color photographs"
102,Buck Up Suck Up,,l,0.083068,4.1,James Carville ,"The political strategists who directed the Clinton campaign's War Room reveal the lessons and secrets from their hard-fought battles -- and how to use these highly effective strategies for success in business and everyday life. James Carville and Paul Begala have waged political war all across America and on three continents. They've won some of the most spectacular political victories of the twentieth century and lost a few campaigns too. Along the way, they've learned a few lessons. Some sound simple, like ""Never Quit,"" some comic, like ""Kiss Ass,"" and some are more complicated and nuanced, like ""Strategy Ain't Tactics."" But each lesson contains tried-and-true wisdom, illustrated with colorful stories from long political experience: • Find out how Carville's mother used a bass boat to ""frame the debate"" in selling encyclopedias.• Learn the War Room tricks for sharpening your message and delivering the perfect sound bite.• Discover what success secret Hillary Rodham Clinton and Tom DeLay share.• And much more. Whether you are a senior executive or a secretary, a political junkie or the president of the United States, the rules to live by can be found in Buck Up, Suck Up...and Come Back When You Foul Up."
103,The Future of Freedom,,n,0.02114,4.3,Fareed Zakaria,"“A work of tremendous originality and insight. ... Makes you see the world differently.”?Washington Post. Translated into twenty languages ?The Future of Freedom ?is a modern classic that uses historical analysis to shed light on the present, examining how democracy has changed our politics, economies, and social relations. Prescient in laying out the distinction between democracy and liberty, the book contains a new afterword on the United States's occupation of Iraq and a wide-ranging update of the book's themes."
104,Empire,,n,0.029077,4.1,Niall Ferguson,"The British Empire was the biggest empire in all history. At its peak it governed a quarter of the world's land and people and dominated all its seas. Though little now remains of the Empire as a political power, its legacy is all around us. It laid the foundation for the global triumph of capitalism. It gave the world its common language, English. It exported both Protestantism and parliaments. And it defeated a succession of rival empires from the Habsburgs' to Hitler's. In the 21st century another English-speaking superpower seems to bestride the globe. But today's American empire was yesterday's British colony. For better and for worse, the world we now know is in large measure the product of Britain's Age of Empire. How did a rainy island in the North Atlantic manage to achieve all this? What were the special factors that enabled Britain to make the modern world - and made the modern world so British? These are the crucial questions addressed by Niall Ferguson in ""Empire"". This was the first age of globalization. But it was, says Ferguson, globalization with gunboats. This text shows how the British wrested power from their rivals by a combination of imitation and intimidation. It shows how mass migration from Britain turned the American and Australian continents white - and how the missionary movement sought to enlighten the ""dark"" continents of Africa and Asia. Above all, ""Empire"" explains how the British Empire rose - and why it finally fell. Ferguson's answers are controversial but compelling."
